,Demonetization,GST Launch,IL&FS Crisis,Elections/Slowdown,COVID Crash
2017-12-26,,993405.9453058635,,,
2017-12-27,,993779.8536578922,,,
2017-12-28,,994092.2900598642,,,
2018-04-06,,,1000000.0,,
2018-04-09,,,999253.2964009566,,
2018-04-10,,,999833.2152454264,,
2018-04-11,,,999505.637188218,,
2018-04-12,,,999457.2238661025,,
2018-04-13,,,998880.481760863,,
2018-04-16,,,998838.115685065,,
2018-04-17,,,998677.0086367221,,
2018-04-18,,,998447.0515581243,,
2018-04-19,,,997113.732066138,,
2018-04-20,,,997044.9122035804,,
2018-04-23,,,997069.3653310905,,
2018-04-24,,,997021.6621173768,,
2018-04-25,,,996708.5672236658,,
2018-04-26,,,996994.102165372,,
2018-04-27,,,997910.7404552479,,
2018-04-30,,,997423.9143411241,,
2018-05-02,,,997592.9199067138,,
2018-05-03,,,997909.2345067385,,
2018-05-04,,,997844.517176416,,
2018-05-07,,,997425.3324189477,,
2018-05-08,,,997240.2083743892,,
2018-05-09,,,997489.7696179244,,
2018-05-10,,,997053.3866551077,,
2018-05-11,,,997457.8472900131,,
2018-05-14,,,997445.8514532794,,
2018-05-15,,,997540.253558044,,
2018-05-16,,,997620.0046473403,,
2018-05-17,,,998557.1811435506,,
2018-05-18,,,999550.3840785347,,
2018-05-21,,,999555.5775381889,,
2018-05-22,,,999761.358938295,,
2018-05-23,,,1001815.9579726689,,
2018-05-24,,,1002379.3263871433,,
2018-05-25,,,1001131.1503718954,,
2018-05-28,,,998838.222931264,,
2018-05-29,,,999172.2472202881,,
2018-05-30,,,999799.6546967049,,
2018-05-31,,,999899.3115276993,,
2018-06-01,,,999799.5359547766,,
2018-06-04,,,1000226.8849270985,,
2018-06-05,,,1000557.3633882346,,
2018-06-06,,,999065.528457303,,
2018-06-07,,,998396.768847614,,
2018-06-08,,,997362.7167016066,,
2018-06-11,,,996656.2020060228,,
2018-06-12,,,996055.653738196,,
2018-06-13,,,995686.2924763738,,
2018-06-14,,,995637.2309687249,,
2018-06-15,,,995362.7606556169,,
2018-06-18,,,994799.497498216,,
2018-06-19,,,995284.0662801607,,
2018-06-20,,,995504.6059534431,,
2018-06-21,,,995642.1320542307,,
2018-06-22,,,994822.3773055627,,
2018-06-25,,,995320.3821315995,,
2018-06-26,,,995655.7504264517,,
2018-06-27,,,997940.9288229565,,
2018-06-28,,,998606.029514645,,
2018-06-29,,,998283.1028930938,,
2018-07-02,,,997586.2759333304,,
2018-07-03,,,997871.9081838515,,
2018-07-04,,,998103.7408178399,,
2018-07-05,,,998771.1547032414,,
2018-07-06,,,999108.3469814323,,
2018-07-09,,,998085.5264959252,,
2018-07-10,,,997473.3095769323,,
2018-07-11,,,997287.4901874145,,
2018-07-12,,,996420.4681934904,,
2018-07-13,,,996544.0434085736,,
2018-07-16,,,997772.672387584,,
2018-07-17,,,997513.7753777221,,
2018-07-18,,,997735.1213675628,,
2018-07-19,,,997677.355043628,,
2018-07-20,,,998476.868084071,,
2018-07-23,,,997613.8967637485,,
2018-07-24,,,996949.750378092,,
2018-07-25,,,996647.3149870437,,
2018-07-26,,,996757.0846458209,,
2018-07-27,,,996721.1237165643,,
2018-07-30,,,996030.5948069694,,
2018-07-31,,,995797.2600410928,,
2018-08-01,,,996060.6373124155,,
2018-08-02,,,996644.8275663758,,
2018-08-03,,,996453.6015264184,,
2018-08-06,,,996126.5938600573,,
2018-08-07,,,995267.7135444356,,
2018-08-08,,,994817.5267536137,,
2018-08-09,,,994651.1227092443,,
2018-08-10,,,995073.6259169412,,
2018-08-13,,,996222.2782390947,,
2018-08-14,,,996211.1078101901,,
2018-08-16,,,997166.1939649488,,
2018-08-17,,,996499.3969895261,,
2018-08-20,,,994954.2215721264,,
2018-08-21,,,994132.8085997985,,
2018-08-23,,,994984.3875947067,,
2018-08-24,,,994645.6348182269,,
2018-08-27,,,993479.939377687,,
2018-08-28,,,992948.8527164418,,
2018-08-29,,,992643.167553114,,
2018-08-30,,,991598.1042816979,,
2018-08-31,,,990723.3950516902,,
2018-09-03,,,991327.8271140725,,
2018-09-04,,,992445.5663877558,,
2018-09-05,,,991594.8781399378,,
2018-09-06,,,991454.7378816028,,
2018-09-07,,,991627.7711905558,,
2018-09-10,,,991347.1489648228,,
2018-09-11,,,991935.5512085052,,
2018-09-12,,,992107.882196173,,
2018-09-14,,,993474.8194313986,,
2018-09-17,,,992453.5221394339,,
2018-09-18,,,992728.704371032,,
2018-09-19,,,991397.164522429,,
2018-09-21,,,990672.0457078058,,
2018-09-24,,,990133.3926575663,,
2018-09-25,,,990667.3205218771,,
2018-09-26,,,989614.7201511152,,
2018-09-27,,,988756.3116041949,,
2018-09-28,,,987297.5970071105,,
2018-10-01,,,987659.4389352362,,
2018-10-03,,,987330.6679340713,,
2018-10-04,,,987193.858881825,,
2018-10-05,,,984328.889229993,,
2018-10-08,,,985494.8856299137,,
2018-10-09,,,983460.7643681591,,
2018-10-10,,,985800.3847605463,,
2018-10-11,,,986069.7161550429,,
2018-10-12,,,988731.4736279247,,
2018-10-15,,,988571.9485386036,,
2018-10-16,,,988646.4898276894,,
2018-10-17,,,989613.0989309901,,
2018-10-19,,,987982.8748010419,,
2018-10-22,,,988211.6275946143,,
2018-10-23,,,986388.342491531,,
2018-10-24,,,986719.7677151806,,
2018-10-25,,,986502.6218237396,,
2018-10-26,,,985409.2506408762,,
2018-10-29,,,987799.0755159977,,
2018-10-30,,,988448.7362452109,,
2018-10-31,,,991900.6455437262,,
2018-11-01,,,991076.4674216028,,
2018-11-02,,,991168.9567466858,,
2018-11-05,,,992014.1157146505,,
2018-11-06,,,990717.2303435619,,
2018-11-07,,,991391.534002451,,
2018-11-09,,,990900.2597662822,,
2018-11-12,,,989799.5459283425,,
2018-11-13,,,989673.1961249762,,
2018-11-14,,,988830.8565409033,,
2018-11-15,,,990060.188144395,,
2018-11-16,,,992348.6259779428,,
2018-11-19,,,993101.4514665847,,
2018-11-20,,,992229.7033576466,,
2018-11-21,,,991732.2238257466,,
2018-11-22,,,990576.423529723,,
2018-11-26,,,989209.4302510134,,
2018-11-27,,,989481.434426969,,
2018-11-28,,,987404.537563807,,
2018-11-29,,,987784.6576050147,,
2018-11-30,,,987012.6130350879,,
2018-12-03,,,988387.2149565753,,
2018-12-04,,,989201.2847231735,,
2018-12-05,,,986867.9190660442,,
2018-12-06,,,988121.5880916519,,
2018-12-07,,,986001.0395792174,,
2018-12-10,,,987182.9432806512,,
2018-12-11,,,987662.3284183636,,
2018-12-12,,,985712.2824866041,,
2018-12-13,,,985393.1054389748,,
2018-12-14,,,985493.7735535841,,
2018-12-17,,,987570.2622694322,,
2018-12-18,,,988354.4405699467,,
2018-12-19,,,988161.3261941342,,
2018-12-20,,,987617.3915526574,,
2018-12-21,,,985866.0642770089,,
2018-12-24,,,985039.0875736115,,
2018-12-26,,,985684.827076214,,
2018-12-27,,,985895.7801795793,,
2018-12-28,,,984975.0246743147,,
2019-04-03,,,,1000000.0,
2019-04-04,,,,999897.9461181317,
2019-04-05,,,,999474.3047749067,
2019-04-08,,,,999645.5366618115,
2019-04-09,,,,999715.6574434384,
2019-04-10,,,,999685.1686424777,
2019-04-11,,,,999637.1344134333,
2019-04-12,,,,999846.7632475931,
2019-04-15,,,,999802.2438274919,
2019-04-16,,,,999771.9926486423,
2019-04-18,,,,999728.8393741717,
2019-04-22,,,,999523.3188851302,
2019-04-23,,,,999880.4714925733,
2019-04-24,,,,1000122.1671696119,
2019-04-25,,,,1000072.8510965994,
2019-04-26,,,,999521.9222835529,
2019-04-30,,,,999272.8381367081,
2019-05-02,,,,999035.5472412845,
2019-05-03,,,,999402.5283951461,
2019-05-06,,,,998938.7780216788,
2019-05-07,,,,997561.2276462384,
2019-05-08,,,,995736.9949083907,
2019-05-09,,,,996678.8803488084,
2019-05-10,,,,997014.4833248662,
2019-05-13,,,,994674.0346235544,
2019-05-14,,,,995899.694122973,
2019-05-15,,,,993685.2599266333,
2019-05-16,,,,995982.0983114627,
2019-05-17,,,,996815.438234374,
2019-05-20,,,,999616.76865182,
2019-05-21,,,,999308.7784307535,
2019-05-22,,,,999308.7784307535,
2019-05-23,,,,999857.375839107,
2019-05-24,,,,1000362.4161178601,
2019-05-27,,,,999874.4360605427,
2019-05-28,,,,1000112.4145055036,
2019-05-29,,,,1000185.7696258632,
2019-05-30,,,,1000228.9222531023,
2019-05-31,,,,1000376.5842023747,
2019-06-03,,,,999715.6315640294,
2019-06-04,,,,999957.4914043896,
2019-06-06,,,,1000002.3010995768,
2019-06-07,,,,999781.2891299892,
2019-06-10,,,,999760.6406465163,
2019-06-11,,,,1000176.4224980174,
2019-06-12,,,,1000002.5493420351,
2019-06-13,,,,999815.056445647,
2019-06-14,,,,999603.9259432326,
2019-06-17,,,,999115.9551022784,
2019-06-18,,,,999159.639307839,
2019-06-19,,,,998051.2015352225,
2019-06-20,,,,999684.5800055428,
2019-06-21,,,,999312.7761396036,
2019-06-24,,,,999168.545010611,
2019-06-25,,,,1000002.4740993981,
2019-06-26,,,,1000045.4347327265,
2019-06-27,,,,1000179.297270323,
2019-06-28,,,,999877.435193873,
2019-07-01,,,,1001009.249384233,
2019-07-02,,,,1000662.2535644291,
2019-07-03,,,,1000435.7609329355,
2019-07-04,,,,1000464.0216748319,
2019-07-05,,,,1002458.680401556,
2019-07-08,,,,1004182.5145547721,
2019-07-09,,,,1004378.8600035073,
2019-07-10,,,,1004070.5386259188,
2019-07-11,,,,1002911.9831860764,
2019-07-12,,,,1003052.0601848888,
2019-07-15,,,,1003447.4820798103,
2019-07-16,,,,1002409.7439739301,
2019-07-17,,,,1002057.085963865,
2019-07-18,,,,1002547.7097691584,
2019-07-19,,,,1002813.6127645802,
2019-07-22,,,,1002144.7750835611,
2019-07-23,,,,1002087.7349649607,
2019-07-24,,,,1001146.9412543887,
2019-07-25,,,,1001129.9270513096,
2019-07-26,,,,1000961.0821838483,
2019-07-29,,,,1001301.9753402262,
2019-07-30,,,,1000746.4454713536,
2019-07-31,,,,1001037.3214643571,
2019-08-01,,,,1002651.955050854,
2019-08-02,,,,1002007.5140427657,
2019-08-05,,,,1002677.2527954747,
2019-08-06,,,,1002832.5958868058,
2019-08-07,,,,1002590.0934149796,
2019-08-08,,,,1001277.575567485,
2019-08-09,,,,1000470.7897659668,
2019-08-13,,,,1002345.6469439963,
2019-08-14,,,,1002269.1405281265,
2019-08-16,,,,1001598.9493360219,
2019-08-19,,,,1001855.2953060727,
2019-08-20,,,,1001789.1528863246,
2019-08-21,,,,1001074.6104171025,
2019-08-22,,,,1003071.5977778367,
2019-08-23,,,,1005316.8666918017,
