ticker,strategy_annual_return,strategy_annual_volatility,strategy_sharpe,strategy_max_drawdown,strategy_hit_rate,bh_annual_return,bh_annual_volatility,bh_sharpe,bh_max_drawdown,bh_hit_rate
ACN,0.39332035559971446,0.22036274370243927,1.784876830771465,-0.41487154645275615,0.4345818368394048,0.16248042217484415,0.25285593622454616,0.6425810071967425,-0.49399891909583005,0.5525910723447922
AVGO,0.5171535406721266,0.2901779990545255,1.782194178597777,-0.3447350114816199,0.3991790661877886,0.2492320943658759,0.354407940465398,0.7032350743569451,-0.6597115926437782,0.530528476141611
CAT,0.4467405275078653,0.25890572063375245,1.7254950041827142,-0.3160286474572813,0.39815289892252437,0.18349290091423964,0.30519246067159284,0.601236677047832,-0.5684349006856422,0.5202668034889687
LIN,0.3636352665651308,0.21125764076245673,1.7212881165042035,-0.22192067006394023,0.387891226269882,0.15997102133090002,0.24159896400911873,0.662134550067285,-0.39430336903956054,0.5197537198563366
LLY,0.4009582497669706,0.23706926322745758,1.69131267507365,-0.22095135460732548,0.3930220625962032,0.26280510276549807,0.2746652909407483,0.9568194869667432,-0.27759217980791917,0.5295023088763469
PG,0.28353909042388104,0.1686587867253102,1.681140342161201,-0.22437040228535898,0.4068753206772704,0.11366654284843691,0.1933247520078887,0.587956491178112,-0.2714473167182778,0.5279630579784504
PEP,0.27502806230661236,0.16844707929880964,1.632726809223791,-0.16144483729505515,0.4125192406362237,0.11744593863981034,0.1941986491176907,0.6047721710393273,-0.33991744351270536,0.5361723961005644
BRK-B,0.2926474148196514,0.17973609138630223,1.628206180308393,-0.17851213944063693,0.3909697280656747,0.10400369016259581,0.20582072355697426,0.505312042272585,-0.35054997035217017,0.5197537198563366
HD,0.3366000551878645,0.20805451412008638,1.6178454796399337,-0.37206493116423545,0.4022575679835813,0.16805604285527753,0.2544495031737387,0.6604691334002271,-0.47793440131707693,0.5382247306310929
GOOGL,0.3969226977340148,0.24616850317133498,1.6124024504375924,-0.38024552724586336,0.4114930733709595,0.16466735670099197,0.2839063136696856,0.5800059694782846,-0.5855498591508994,0.530528476141611
EEM,0.2847558569327613,0.1790906978821305,1.5900091981336455,-0.2485770180629463,0.39250897896357106,0.011355595168793586,0.21967714305276562,0.05169220161455767,-0.5078686556192499,0.5228322216521293
HON,0.3257644315829906,0.20767889752316984,1.5685966916626495,-0.24011773364015454,0.4191893278604413,0.1272916740000234,0.23925480191459794,0.5320339361274771,-0.5623003904158372,0.5407901487942535
INTC,0.4213764956084678,0.27708426405061437,1.5207521692083383,-0.5219327809352348,0.387891226269882,0.006786452903439821,0.33082152142605564,0.020513940188007725,-0.9577947079474136,0.5135967162647511
IWM,0.2911520187812464,0.19582312668030785,1.486811204156536,-0.31635823823893416,0.40071831708568495,0.05817745032117738,0.23352659876084428,0.249125584108546,-0.5298943225959285,0.5284761416110826
MRK,0.277462919778658,0.18734275146534804,1.4810443297560894,-0.23165818986587183,0.3801949717804002,0.1308013331742892,0.22069108518374372,0.5926897004715266,-0.3182988293827949,0.5105182144689584
ABBV,0.3391399518124065,0.23293557349119043,1.4559388535183644,-0.31025221589513474,0.40379681888147767,0.1934334907020565,0.27745169500651246,0.6971789835254607,-0.5994704772747519,0.543355566957414
RTX,0.33632954822017647,0.23194036934703507,1.4500690378609842,-0.22715989454288688,0.396613648024628,0.06540367898671295,0.283398629272407,0.23078332860899606,-0.7335934558674819,0.5182144689584403
AMGN,0.28970353699048523,0.2121351322781515,1.3656556265778084,-0.23986480739830937,0.38737814263724984,0.10088731741039991,0.2507091489862832,0.4024078013041305,-0.2845715245616776,0.5197537198563366
KO,0.21939173553261937,0.1617770234331313,1.3561365568288037,-0.23382486757245097,0.4191893278604413,0.0931502746516395,0.18947979487417332,0.49161059475231766,-0.46183760604088164,0.5310415597742432
JNJ,0.2181133646119069,0.16142586827251007,1.3511673621212938,-0.18909228613164059,0.38737814263724984,0.1075973295338164,0.18611835310062844,0.5781124093422525,-0.31974076138846624,0.5202668034889687
TMO,0.30090707430412666,0.2246159513870638,1.3396514025203672,-0.32267183488750817,0.4068753206772704,0.20638984079695044,0.2560988473477197,0.8058991398611155,-0.31791645269545854,0.543355566957414
UNP,0.28550922420588565,0.21898824071943468,1.3037650938146808,-0.27356261665365056,0.3776295536172396,0.11590724879735737,0.26657795987036875,0.4347968183630808,-0.48970552739521445,0.5187275525910724
CVX,0.3342185072349251,0.2604472844572147,1.2832481933204,-0.4100103682507533,0.3986659825551565,0.11583530536338227,0.3169521590364917,0.3654662133096427,-0.8158555255408046,0.5197537198563366
PFE,0.2545015199534846,0.19939449005444818,1.2763718791025191,-0.21925968594725287,0.36223704463827605,0.09927726761085398,0.23335816938536222,0.4254287213185574,-0.43745665961019514,0.49923037455105185
META,0.4062787573252056,0.32063605433783104,1.2671025351913139,-0.645546040566479,0.3935351462288353,0.050027063842928765,0.3843451582555486,0.13016181619144035,-1.4582673278848441,0.5228322216521293
GS,0.31098454410278453,0.25673451535430564,1.2113078900731806,-0.3233555485175805,0.3740379681888148,0.09761298415552622,0.2993378245732702,0.32609639057369805,-0.6684308663970182,0.50846587993843
MMM,0.2356926771071013,0.20214320611376588,1.1659688279330735,-0.4716272737085714,0.40020523345305287,-0.010102039663230977,0.237547929408963,-0.042526321691650215,-0.720708716144943,0.525910723447922
JPM,0.2930196534088516,0.253885949563117,1.154138911243711,-0.4344045296266459,0.38173422267829654,0.13800875847674665,0.28624301900146976,0.48213842544763696,-0.5731707845769631,0.5038481272447409
